FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\normal\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 213
Number of single edges: 213
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 6

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

845519 subgraphs were enumerated in the original network.
73676453 subgraphs were enumerated in the random networks.
74521972 subgraphs were enumerated in all networks.

For the random networks: 92950 tries were made, 61786 were successful.
Randomization took 0.019 seconds.
Enumeration took 148.641 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

4261936,000000,0.093197%,0.051528%,8.6297e-005,4.8286,0
,000000
,010000
,300000
,200000
,330000

4261936,000000,0.090832%,0.065381%,0.00012182,2.0892,0.04
,000000
,100000
,030000
,300000
,330000

4261936,000000,0.089294%,0.052745%,9.9937e-005,3.6572,0
,000000
,010000
,030000
,300000
,310000

4261936,000000,0.083854%,0.052455%,0.0001033,3.0395,0.01
,000000
,200000
,030000
,300000
,330000

66104,000000,0.078886%,0.053177%,0.00010776,2.3858,0.01
,000000
,000000
,300000
,001000
,333000

4261936,000000,0.076758%,0.056288%,0.0001043,1.9625,0.05
,000000
,200000
,100000
,030000
,110000

4261936,000000,0.076521%,0.058228%,0.00011541,1.5852,0.05
,000000
,300000
,010000
,100000
,330000

4261936,000000,0.076403%,0.041376%,9.4335e-005,3.713,0
,000000
,010000
,200000
,100000
,130000

4261936,000000,0.074984%,0.047505%,6.8667e-005,4.0017,0
,000000
,020000
,010000
,300000
,330000

4261936,000000,0.07451%,0.06011%,0.00011204,1.2853,0.1
,000000
,100000
,300000
,030000
,110000

4261936,000000,0.074037%,0.047441%,9.9375e-005,2.6764,0.01
,000000
,020000
,010000
,300000
,310000

4261936,000000,0.073091%,0.054738%,9.5742e-005,1.9169,0.04
,000000
,010000
,300000
,100000
,110000

4261936,000000,0.072263%,0.046748%,8.7282e-005,2.9234,0.01
,000000
,300000
,010000
,100000
,130000

4261936,000000,0.069661%,0.040925%,9.0519e-005,3.1746,0
,000000
,100000
,030000
,030000
,330000

4261936,000000,0.068952%,0.047318%,8.9976e-005,2.4044,0.03
,000000
,010000
,200000
,100000
,110000

4261936,000000,0.067651%,0.036304%,7.5502e-005,4.1518,0
,000000
,300000
,200000
,020000
,330000

133656,000000,0.06635%,0.043801%,8.1295e-005,2.7737,0.01
,000000
,000000
,100000
,303000
,033000

4229160,000000,0.06564%,0.024455%,6.7565e-005,6.0956,0
,000000
,030000
,001000
,300000
,303000

4261936,000000,0.064221%,0.037161%,6.9108e-005,3.9156,0
,000000
,010000
,300000
,200000
,310000

133656,000000,0.06363%,0.046319%,7.1878e-005,2.4083,0.02
,000000
,000000
,300000
,011000
,330000

4261936,000000,0.06363%,0.044231%,7.9489e-005,2.4404,0
,000000
,300000
,010000
,100000
,310000

4261936,000000,0.063038%,0.04417%,7.9492e-005,2.3736,0.01
,000000
,020000
,300000
,100000
,330000

4261936,000000,0.062329%,0.047738%,9.4219e-005,1.5486,0.05
,000000
,100000
,030000
,300000
,310000

4261936,000000,0.06221%,0.041559%,7.7511e-005,2.6642,0
,000000
,010000
,200000
,100000
,330000

66104,000000,0.061028%,0.040047%,0.00010329,2.0312,0.05
,000000
,000000
,300000
,003000
,311000

134184,000000,0.060673%,0.042467%,0.00011286,1.6132,0.06
,000000
,000000
,300000
