FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_250120\synds\normal\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 75
Number of edges: 245
Number of single edges: 245
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15260 subgraphs were enumerated in the original network.
1437102 subgraphs were enumerated in the random networks.
1452362 subgraphs were enumerated in all networks.

For the random networks: 101739 tries were made, 71906 were successful.
Randomization took 0.059 seconds.
Enumeration took 2.073 seconds.

28,0000,0.098296%,0.069136%,0.00015498,1.8815,0.02
,0000
,0003
,2100

392,0000,0.091743%,0.019907%,0.00019191,3.7431,0
,2000
,0300
,1000

2184,0000,0.091743%,0.064809%,0.00019791,1.3609,0.02
,2000
,1000
,1000

2182,0000,0.091743%,0.014029%,0.00010401,7.4717,0
,1000
,2000
,0320

392,0000,0.08519%,0.02274%,0.00019528,3.1979,0
,1000
,3000
,0030

536,0000,0.08519%,0.086631%,0.0002575,-0.055969,0.51
,3000
,0003
,0300

204,0000,0.08519%,0.020651%,0.00011504,5.6102,0
,0000
,3200
,3200

140,0000,0.078637%,0.080442%,0.00037044,-0.048721,0.53
,0000
,2000
,3300

392,0000,0.078637%,0.080897%,0.00019222,-0.11757,0.6
,1000
,0200
,3000

204,0000,0.065531%,0.011123%,8.2275e-005,6.6129,0
,0000
,3100
,2200

536,0000,0.065531%,0.039577%,0.00017363,1.4948,0.08
,1000
,0300
,0030

28,0000,0.065531%,0.045694%,0.00011754,1.6877,0.05
,0000
,0002
,3100

28,0000,0.065531%,0.043682%,0.00013421,1.6279,0.05
,0000
,0003
,3100

140,0000,0.065531%,0.086753%,0.00030793,-0.6892,0.76
,0000
,2000
,3100

204,0000,0.065531%,0.023809%,0.00013631,3.0607,0.01
,0000
,2100
,2200

392,0000,0.065531%,0.032331%,0.0001493,2.2238,0
,1000
,0300
,1000

392,0000,0.065531%,0.044615%,0.00014078,1.4857,0.06
,1000
,0300
,3000

392,0000,0.052425%,0.065815%,0.00019773,-0.67723,0.78
,1000
,0200
,1000

392,0000,0.052425%,0.080737%,0.0005007,-0.56544,0.68
,3000
,0200
,1000

14,0000,0.052425%,0.032515%,0.00013376,1.4884,0.03
,0000
,0000
,2330

2116,0000,0.052425%,0.035547%,0.00011308,1.4925,0.09
,1000
,0300
,0300

2182,0000,0.045872%,0.0082805%,8.1915e-005,4.589,0
,3000
,3000
,0230

204,0000,0.045872%,0.0018848%,3.9513e-005,11.132,0
,0000
,3200
,2100

392,0000,0.045872%,0.12768%,0.00033776,-2.422,0.99
,3000
,0300
,3000

28,0000,0.039318%,0.026194%,0.00013753,0.95434,0.15
,0000
,0002
,3300

14,0000,0.039318%,0.02705%,8.6113e-005,1.4247,0.08
,0000
,0000
,2310

140,0000,0.032765%,0.50639%,0.00078192,-6.0571,1
,0000
,1000
,2200

2182,0000,0.032765%,0.0049964%,5.746e-005,4.8327,0
,3000
,1000
,0220

74,0000,0.026212%,0.023773%,0.00013194,0.18489,0.43
,0000
,0200
,3030

2184,0000,0.026212%,0.018848%,6.2252e-005,1.183,0.2
,3000
,3000
,3000

204,0000,0.026212%,0.007643%,6.641e-005,2.7962,0
,0000
,2300
,3200

140,0000,0.026212%,0.0368%,0.00010858,-0.97506,0.88
,0000
,0300
,2100

2182,0000,0.019659%,0.0017977%,3.4819e-005,5.1298,0
,2000
,1000
,0320

2182,0000,0.019659%,0.0053621%,5.7604e-005,2.482,0.04
,3000
,2000
,0230

536,0000,0.019659%,0.013232%,0.00012656,0.50782,0.39
,1000
,0200
,0030

28,0000,0.019659%,0.012659%,7.4453e-005,0.94026,0.31
,0000
,0003
,3300

140,0000,0.019659%,0.016813%,0.00011001,0.25869,0.44
,0000
,3000
,3300

204,0000,0.019659%,0.0003403%,1.776e-005,10.878,0
,0000
,2100
,1200

204,0000,0.019659%,0.0030491%,4.6499e-005,3.5722,0
,0000
,3300
,2200

14,0000,0.019659%,0.014325%,5.08e-005,1.0501,0.28
,0000
,0000
,1220

204,0000,0.013106%,0.0018134%,3.3787e-005,3.3423,0.02
,0000
,3100
,2300

2184,0000,0.013106%,0.0079982%,4.8736e-005,1.0481,0.33
,3000
,1000
,1000

140,0000,0.013106%,0.017045%,0.00012619,-0.31217,0.66
,0000
,3000
,2100

204,0000,0.013106%,0.0002051%,1.1722e-005,11.006,0
,0000
,1300
,2100

