FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\orth\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 204
Number of single edges: 204
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 6

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

624328 subgraphs were enumerated in the original network.
54849801 subgraphs were enumerated in the random networks.
55474129 subgraphs were enumerated in all networks.

For the random networks: 83032 tries were made, 60311 were successful.
Randomization took 0.053 seconds.
Enumeration took 233.193 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

33949728,000000,0.098506%,0.025004%,0.00011537,6.371,0
,300000
,020000
,200000
,000200
,200000

541130848,000000,0.084251%,0.017505%,7.3351e-005,9.0995,0
,001000
,200000
,002000
,000002
,200000

33949728,000000,0.080567%,0.01276%,7.0145e-005,9.6665,0
,300000
,000100
,200000
,200000
,000020

33949728,000000,0.07464%,0.020104%,7.779e-005,7.0108,0
,300000
,030000
,200000
,200000
,000200

33949728,000000,0.072398%,0.017892%,9.4819e-005,5.7484,0
,001000
,200000
,200000
,000002
,200000

541130848,000000,0.071437%,0.015088%,5.8797e-005,9.5836,0
,300000
,030000
,000020
,200000
,020000

541130848,000000,0.070155%,0.014178%,8.3466e-005,6.7066,0
,200000
,000002
,020000
,000002
,200000

33949728,000000,0.070155%,0.016291%,7.8408e-005,6.8698,0
,300000
,000100
,200000
,200000
,020000

4261936,000000,0.067433%,0.07186%,0.00014875,-0.29767,0.63
,000000
,300000
,020000
,200000
,220000

541130848,000000,0.061506%,0.015688%,7.483e-005,6.123,0
,003000
,200000
,002000
,000002
,200000

541130848,000000,0.060865%,0.01416%,4.8728e-005,9.5848,0
,300000
,000100
,200000
,000200
,020000

25298976,000000,0.060065%,0.032669%,0.00010035,2.7298,0.01
,300000
,200000
,002000
,200000
,200000

4261936,000000,0.060065%,0.049313%,8.282e-005,1.2981,0.13
,000000
,100000
,020000
,200000
,220000

541132832,000000,0.057822%,0.040116%,9.6481e-005,1.8351,0.01
,300000
,000010
,000020
,200000
,200000

4261936,000000,0.057021%,0.047488%,7.7848e-005,1.2246,0.09
,000000
,200000
,010000
,300000
,220000

33949728,000000,0.056701%,0.022375%,9.368e-005,3.6642,0
,300000
,010000
,200000
,200000
,000200

33949728,000000,0.05542%,0.013292%,5.564e-005,7.5715,0
,300000
,030000
,000010
,200000
,200000

541130848,000000,0.054939%,0.011287%,5.3268e-005,8.1948,0
,300000
,020000
,200000
,000200
,000200

133656,000000,0.054939%,0.027022%,5.6275e-005,4.9608,0
,000000
,000000
,200000
,201000
,022000

4261936,000000,0.054939%,0.04902%,0.00011596,0.51049,0.27
,000000
,020000
,200000
,200000
,220000

541130848,000000,0.054298%,0.010168%,4.0789e-005,10.819,0
,300000
,030000
,000010
,200000
,020000

33949728,000000,0.054298%,0.011534%,6.6047e-005,6.4748,0
,300000
,300000
,000020
,200000
,020000

4261936,000000,0.053818%,0.049316%,9.4704e-005,0.4754,0.31
,000000
,300000
,020000
,200000
,210000

541130848,000000,0.053498%,0.010921%,5.2162e-005,8.1624,0
,000100
,000001
,200000
,000002
,200000

33949728,000000,0.053017%,0.013243%,7.2425e-005,5.4917,0
,200000
,200000
,002000
,020000
,200000

4261936,000000,0.052697%,0.037129%,7.6956e-005,2.0229,0.03
,000000
,030000
,020000
,200000
,210000

