FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\glorot\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 550
Number of single edges: 550
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

1308830 subgraphs were enumerated in the original network.
113853302 subgraphs were enumerated in the random networks.
115162132 subgraphs were enumerated in all networks.

For the random networks: 236588 tries were made, 160505 were successful.
Randomization took 0.529 seconds.
Enumeration took 1157.65 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8724,00000,2.825%,2.023%,0.00060966,13.155,0
,00000
,02000
,20000
,20200

8340,00000,2.7959%,2.1163%,0.00082806,8.2081,0
,00000
,02000
,00200
,20200

8468,00000,2.5595%,2.02%,0.00058333,9.2498,0
,00000
,02000
,02000
,20200

1304,00000,2.3358%,2.0132%,0.00073124,4.4115,0
,00000
,00002
,20000
,22000

540,00000,2.3346%,1.9554%,0.00072054,5.2626,0
,00000
,00000
,20000
,22200

8344,00000,2.3255%,2.024%,0.00054299,5.5535,0
,00000
,02000
,00200
,22000

404,00000,2.2466%,1.8302%,0.00049449,8.4208,0
,00000
,00000
,02200
,20200

8728,00000,2.2311%,2.0484%,0.00051257,3.5646,0
,00000
,20000
,02000
,22000

8472,00000,2.1578%,1.9448%,0.00066471,3.204,0
,00000
,20000
,20000
,22000

67088,00000,1.3579%,0.5494%,0.00030956,26.118,0
,20000
,20000
,02000
,00200

154,00000,1.3388%,0.99027%,0.00046278,7.5318,0
,00000
,00000
,00200
,22020

532752,00000,1.3061%,1.2056%,0.00041735,2.4082,0
,00020
,00020
,20000
,20000

402,00000,1.2592%,0.91343%,0.00042302,8.1742,0
,00000
,00000
,02200
,20020

16646,00000,1.2276%,0.49625%,0.00032632,22.411,0
,00000
,02000
,20000
,00220

49680,00000,1.2019%,1.0893%,0.00042477,2.65,0.01
,20000
,02000
,20000
,20000

1080,00000,1.1877%,0.54493%,0.0003396,18.927,0
,00000
,00002
,00002
,22000

540940,00000,0.87345%,0.12616%,0.00012497,59.796,0
,20000
,20000
,02000
,02200

532744,00000,0.82509%,0.40262%,0.00024596,17.176,0
,00002
,00002
,00002
,20000

17158,00000,0.77199%,0.10644%,0.00012265,54.262,0
,00000
,20000
,22000
,00220

60,00000,0.76076%,0.34472%,0.00023936,17.381,0
,00000
,00000
,00002
,22200

8472,00000,0.71109%,0.65851%,0.00030321,1.7342,0.06
,00000
,20000
,30000
,22000

132624,00000,0.65937%,1.1018%,0.00049775,-8.888,1
,20000
,00002
,20000
,02000

796,00000,0.64691%,0.21201%,0.00015855,27.429,0
,00000
,00000
,22000
,22200

17176,00000,0.61719%,0.21199%,0.00015284,26.511,0
,00000
,20000
,22000
,22000

8728,00000,0.61635%,0.60712%,0.00018644,0.49504,0.32
,00000
,03000
,20000
,22000

404,00000,0.59198%,0.47839%,0.00020909,5.4324,0
,00000
,00000
,30200
,22000

2324,00000,0.54873%,0.98972%,0.00042278,-10.431,1
,00000
,00020
,02000
,20200

8728,00000,0.49823%,0.52179%,0.00024656,-0.9555,0.85
,00000
,20000
,02000
,23000

540,00000,0.49571%,0.4007%,0.00026759,3.5506,0
,00000
,00000
,20000
,22100

404,00000,0.48654%,0.41735%,0.00015849,4.3655,0
,00000
,00000
,20300
,22000

