FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\normal\mvg\mvg_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 229
Number of single edges: 229
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

20631 subgraphs were enumerated in the original network.
1735057 subgraphs were enumerated in the random networks.
1755688 subgraphs were enumerated in all networks.

For the random networks: 112089 tries were made, 62642 were successful.
Randomization took 0.031 seconds.
Enumeration took 2.028 seconds.

140,0000,0.2472%,0.25352%,0.00058482,-0.10797,0.59
,0000
,0100
,2300

140,0000,0.23266%,0.33576%,0.0007231,-1.4258,0.94
,0000
,0100
,2100

392,0000,0.22781%,0.14176%,0.00038153,2.2555,0.02
,1000
,0300
,3000

28,0000,0.22297%,0.10967%,0.0003064,3.6976,0
,0000
,0003
,3100

74,0000,0.22297%,0.76358%,0.00083027,-6.5112,1
,0000
,0100
,2020

2182,0000,0.22297%,0.06184%,0.00023386,6.8898,0
,3000
,1000
,0220

28,0000,0.21812%,0.11489%,0.00029952,3.4464,0
,0000
,0001
,2300

74,0000,0.21327%,0.16576%,0.00036315,1.3084,0.08
,0000
,0300
,2030

2116,0000,0.20358%,0.097568%,0.00023812,4.4519,0
,1000
,0300
,0300

536,0000,0.20358%,0.072338%,0.0004177,3.142,0
,0010
,1000
,0200

2184,0000,0.19873%,0.0985%,0.00026907,3.725,0
,3000
,1000
,1000

536,0000,0.19873%,0.069863%,0.00027285,4.723,0
,1000
,0001
,0300

2116,0000,0.19388%,0.096279%,0.00026446,3.6907,0
,0010
,3000
,0030

2184,0000,0.17934%,0.082636%,0.00022578,4.2833,0
,1000
,3000
,3000

392,0000,0.17934%,0.16155%,0.00039695,0.44814,0.3
,1000
,0300
,1000

140,0000,0.17449%,0.2655%,0.00055214,-1.6483,0.95
,0000
,2000
,3100

28,0000,0.16965%,0.090668%,0.00025883,3.0514,0
,0000
,0003
,2300

392,0000,0.16965%,0.34485%,0.00076362,-2.2944,1
,0030
,2000
,2000

74,0000,0.1648%,0.11892%,0.0004109,1.1166,0.16
,0000
,0200
,2030

28,0000,0.15995%,0.10925%,0.00024206,2.0944,0.01
,0000
,0002
,1100

74,0000,0.15511%,0.30735%,0.00052629,-2.8927,1
,0000
,0200
,3020

536,0000,0.15511%,0.015872%,0.00011189,12.444,0
,1000
,0001
,0200

14,0000,0.15026%,0.082416%,0.00021486,3.1576,0
,0000
,0000
,2310

140,0000,0.15026%,0.089979%,0.00024949,2.4161,0
,0000
,3000
,2300

2116,0000,0.14541%,0.07977%,0.00024624,2.6659,0.01
,1000
,0100
,0300

2182,0000,0.14057%,0.010221%,8.5675e-005,15.214,0
,2000
,3000
,0230

392,0000,0.14057%,0.088043%,0.00032542,1.614,0.12
,1000
,3000
,0030

2182,0000,0.13572%,0.018288%,0.00011687,10.048,0
,3000
,1000
,0230

28,0000,0.13572%,0.078754%,0.0001811,3.1455,0
,0000
,0003
,2100

2182,0000,0.13087%,0.011333%,8.2805e-005,14.436,0
,2000
,3000
,0210

2182,0000,0.12602%,0.048155%,0.00022674,3.4344,0
,2000
,1000
,0220

2182,0000,0.12602%,0.011008%,9.7238e-005,11.828,0
,2000
,2000
,0210

140,0000,0.12602%,0.25239%,0.00055659,-2.2704,1
,0000
,2000
,1100

