FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_240120\synds\glorot\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 245
Number of single edges: 245
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

18872 subgraphs were enumerated in the original network.
1666059 subgraphs were enumerated in the random networks.
1684931 subgraphs were enumerated in all networks.

For the random networks: 108413 tries were made, 70753 were successful.
Randomization took 0.031 seconds.
Enumeration took 2.188 seconds.

,2000
,3000

536,0000,0.38152%,0.22651%,0.0007367,2.1041,0.02
,0030
,1000
,0200

536,0000,0.36562%,0.32849%,0.00061595,0.60278,0.27
,0030
,3000
,0200

2116,0000,0.34972%,0.23006%,0.00037071,3.228,0
,0030
,2000
,0020

2182,0000,0.34972%,0.045415%,0.00020417,14.905,0
,3000
,2000
,0220

140,0000,0.34443%,0.3734%,0.0006883,-0.42102,0.66
,0000
,2000
,3100

2182,0000,0.33913%,0.063304%,0.00021017,13.124,0
,2000
,2000
,0220

2184,0000,0.32853%,0.22701%,0.0003724,2.726,0.01
,2000
,3000
,3000

536,0000,0.31793%,0.17618%,0.00036996,3.8316,0
,3000
,0001
,0200

2116,0000,0.31263%,0.22474%,0.00031054,2.8302,0
,0001
,0001
,3000

28,0000,0.31263%,0.20495%,0.00032015,3.3633,0
,0000
,0001
,2300

28,0000,0.30203%,0.19811%,0.00029771,3.4909,0
,0000
,0001
,2100

140,0000,0.30203%,0.47413%,0.0006837,-2.5171,1
,0000
,2000
,1300

74,0000,0.30203%,0.41007%,0.00045592,-2.3696,1
,0000
,0300
,1020

28,0000,0.29144%,0.1799%,0.0002939,3.7951,0
,0000
,0001
,2200

28,0000,0.29144%,0.19739%,0.00034292,2.7425,0
,0000
,0001
,3100

140,0000,0.29144%,0.36621%,0.00045911,-1.6286,0.95
,0000
,3000
,2100

14,0000,0.28084%,0.1818%,0.00030824,3.213,0
,0000
,0000
,3220

14,0000,0.27554%,0.17376%,0.0002926,3.4785,0
,0000
,0000
,2110

536,0000,0.26494%,0.32929%,0.00056329,-1.1423,0.9
,0010
,0002
,2000

140,0000,0.25964%,0.48613%,0.00079105,-2.8631,1
,0000
,0300
,2100

392,0000,0.25435%,0.22324%,0.00044684,0.69621,0.26
,0001
,1000
,1000

140,0000,0.24905%,0.27045%,0.00044678,-0.47908,0.71
,0000
,1000
,1100

14,0000,0.23845%,0.15456%,0.00025847,3.2454,0
,0000
,0000
,2310

2116,0000,0.23845%,0.16207%,0.00028537,2.6766,0
,0010
,3000
,0030

2182,0000,0.23315%,0.037059%,0.00015383,12.747,0
,2000
,2000
,0210

392,0000,0.23315%,0.27203%,0.00053345,-0.72889,0.76
,2000
,0003
,3000

140,0000,0.22785%,0.28727%,0.00039363,-1.5096,0.95
,0000
,1000
,2300

204,0000,0.22255%,0.061997%,0.00022026,7.2894,0
,0000
,2300
,2200

140,0000,0.22255%,0.29134%,0.00038166,-1.8023,0.97
,0000
,0100
,2300

2184,0000,0.21725%,0.14045%,0.00025132,3.056,0
,1000
,3000
,3000

140,0000,0.21725%,0.22502%,0.00047259,-0.1643,0.55
,0000
,2000
,3300

2182,0000,0.21195%,0.022164%,0.00012668,14.982,0
,1000
,2000
,0210

536,0000,0.20136%,0.14646%,0.00034087,1.6104,0.07
,0010
,0001
,3000

536,0000,0.19606%,0.15598%,0.00030764,1.3027,0.11
,0010
,0003
,3000

2182,0000,0.19606%,0.023389%,0.0001376,12.549,0
,2000
,3000
,0210

74,0000,0.19076%,0.18835%,0.00047902,0.05023,0.44
,0000
,0200
,1010

2116,0000,0.19076%,0.13091%,0.00022831,2.6216,0
,0001
,0001
,2000

392,0000,0.19076%,0.12945%,0.00045753,1.34,0.12
,0001
,3000
,1000

536,0000,0.18546%,0.23054%,0.00051257,-0.87955,0.75
,1000
,0001
,0200

2116,0000,0.16426%,0.11619%,0.0002307,2.0839,0
,1000
,0100
,0100

2182,0000,0.15897%,0.037914%,0.00020195,5.9942,0
,3000
,1000
,0220

74,0000,0.15897%,0.22941%,0.00049895,-1.4118,0.91
,0000
,0200
,3020

140,0000,0.15897%,0.093642%,0.00031768,2.0563,0.03
,0000
,3000
,2300

392,0000,0.15897%,0.042431%,0.00023823,4.8917,0
,1000
,0300
,3000

140,0000,0.15367%,0.16632%,0.00034044,-0.37158,0.65
,0000
,3000
,3100

392,0000,0.15367%,0.13508%,0.0002515,0.73911,0.24
,1000
,3000
,0030

2182,0000,0.15367%,0.024014%,0.00011168,11.609,0
,2000
,1000
,0210

140,0000,0.14837%,0.18323%,0.00035335,-0.98663,0.84
,0000
,1000
,3100

204,0000,0.14837%,0.037124%,0.00014586,7.627,0
,0000
,1100
,2200

392,0000,0.14837%,0.25725%,0.00056677,-1.9211,0.97
,1000
,0300
,2000

74,0000,0.14837%,0.18338%,0.0003632,-0.96387,0.83
,0000
,0300
,1010

2184,0000,0.14307%,0.097614%,0.00018453,2.4632,0
,3000
,1000
,1000

2116,0000,0.14307%,0.092039%,0.00020885,2.4434,0.01
,1000
,0100
,0300

74,0000,0.13777%,0.11804%,0.00033991,0.58044,0.26
,0000
,0300
,2030

2116,0000,0.13777%,0.086412%,0.0002001,2.5666,0.01
,2000
,0300
,0100

536,0000,0.13777%,0.15947%,0.00053447,-0.40597,0.63
,0030
,2000
,0200

392,0000,0.13777%,0.12282%,0.00038376,0.38964,0.3
,3000
,0300
,3000

140,0000,0.13247%,0.14979%,0.00041824,-0.41398,0.66
,0000
,3000
,1100

28,0000,0.13247%,0.097137%,0.00022636,1.561,0.03
,0000
,0002
,3300

140,0000,0.12717%,0.25936%,0.00058579,-2.2565,0.99
,0000
,3000
,3200

204,0000,0.12717%,0.045434%,0.00013588,6.0154,0
,0000
,2100
,1200

392,0000,0.12187%,0.19972%,0.00047423,-1.6414,0.94
,0030
,2000
,2000

28,0000,0.12187%,0.085193%,0.00019075,1.9229,0.03
,0000
,0001
,3300

536,0000,0.12187%,0.11125%,0.00033092,0.32099,0.35
,1000
,0001
,0300

536,0000,0.12187%,0.1678%,0.00048848,-0.94011,0.8
,0010
,0001
,2000

2182,0000,0.11657%,0.012443%,9.015e-005,11.551,0
,3000
,2000
,0210

204,0000,0.11657%,0.035178%,0.00014482,5.6206,0
,0000
,3100
,2200

2182,0000,0.11128%,0.027452%,0.0001462,5.7336,0
,3000
,3000
,0220

2182,0000,0.11128%,0.0189%,0.0001309,7.0571,0
,1000
,1000
,0220

204,0000,0.11128%,0.039486%,0.00014608,4.9144,0
,0000
,1200
,1200

140,0000,0.11128%,0.1334%,0.0002754,-0.80317,0.76
,0000
,0100
,3100

536,0000,0.10598%,0.10509%,0.00034139,0.026035,0.48
,0010
,0001
,1000

28,0000,0.10598%,0.069074%,0.00017349,2.1271,0
,0000
,0003
,3100

392,0000,0.10068%,0.022764%,0.00015407,5.057,0
,2000
,0300
,3000

74,0000,0.10068%,0.12592%,0.00034215,-0.73772,0.76
,0000
,0100
,1010

28,0000,0.10068%,0.068828%,0.00017751,1.7942,0.03
,0000
,0001
,1100

2182,0000,0.095379%,0.019142%,9.4837e-005,8.0388,0
,1000
,3000
,0210

28,0000,0.095379%,0.062789%,0.00015143,2.1522,0.01
,0000
,0003
,2300

204,0000,0.090081%,0.020813%,0.00011729,5.9058,0
,0000
,3200
,2100

74,0000,0.084782%,0.056356%,0.00025938,1.0959,0.12
,0000
,0200
