FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_250120\synds\orth\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 75
Number of edges: 277
Number of single edges: 277
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

20655 subgraphs were enumerated in the original network.
1928211 subgraphs were enumerated in the random networks.
1948866 subgraphs were enumerated in all networks.

For the random networks: 116286 tries were made, 81134 were successful.
Randomization took 0.058 seconds.
Enumeration took 3.187 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,9.7991%,8.8053%,0.0027869,3.5657,0
,0000
,2000
,2200

392,0000,8.7194%,7.7635%,0.0028012,3.4127,0
,2000
,0200
,2000

2116,0000,5.9889%,4.3581%,0.0018807,8.671,0
,0002
,0002
,2000

74,0000,4.672%,4.4929%,0.0018916,0.94695,0.17
,0000
,0200
,2020

28,0000,4.3476%,2.9448%,0.0015409,9.1043,0
,0000
,0002
,2200

2184,0000,3.1082%,2.4241%,0.0010409,6.5726,0
,2000
,2000
,2000

140,0000,2.687%,2.4406%,0.0010068,2.4474,0
,0000
,2000
,2100

28,0000,2.1302%,1.5135%,0.00085473,7.2151,0
,0000
,0002
,2100

140,0000,2.1206%,1.8631%,0.00097271,2.6467,0
,0000
,1000
,2200

2116,0000,2.0431%,1.5005%,0.00083225,6.5191,0
,0010
,2000
,0020

536,0000,1.9317%,3.8981%,0.0022497,-8.7406,1
,2000
,0002
,0200

392,0000,1.8978%,1.6721%,0.0010325,2.1862,0
,0010
,2000
,2000

28,0000,1.8785%,1.3788%,0.00072693,6.8743,0
,0000
,0002
,3200

140,0000,1.8349%,1.8542%,0.0011243,-0.17184,0.58
,0000
,2000
,1200

392,0000,1.801%,1.6642%,0.0014724,0.92946,0.18
,1000
,2000
,0020

392,0000,1.5783%,0.8953%,0.0011055,6.1785,0
,3000
,2000
,0020

2184,0000,1.5541%,1.2194%,0.0006522,5.1314,0
,1000
,2000
,2000

140,0000,1.4815%,1.3547%,0.00070881,1.7882,0.03
,0000
,2000
,2300

392,0000,1.4185%,1.38%,0.0013471,0.28597,0.37
,3000
,0200
,2000

392,0000,1.3847%,1.4625%,0.0014544,-0.53526,0.73
,1000
,0200
,2000

14,0000,1.3556%,0.86007%,0.00060242,8.2258,0
,0000
,0000
,2220

140,0000,1.2491%,1.2527%,0.0010307,-0.034604,0.52
,0000
,2000
,3200

74,0000,1.191%,1.1124%,0.00086336,0.91005,0.14
,0000
,0100
,2020

74,0000,1.1619%,1.2601%,0.0010297,-0.95363,0.8
,0000
,0200
,1020

2116,0000,1.1329%,0.86368%,0.00066973,4.0199,0
,3000
,0200
,0200

2116,0000,1.1232%,0.85631%,0.00054657,4.8832,0
,1000
,0200
,0200

14,0000,1.0554%,0.70388%,0.00050662,6.9391,0
,0000
,0000
,1220

140,0000,1.0215%,1.0309%,0.00074944,-0.12499,0.59
,0000
,3000
,2200

74,0000,1.0215%,0.96524%,0.0010266,0.54839,0.28
,0000
,0200
,2010

74,0000,0.97797%,0.90895%,0.00067385,1.0243,0.15
,0000
,0300
,2020

2184,0000,0.93924%,0.68365%,0.00051446,4.9682,0
,3000
,2000
,2000

2182,0000,0.79884%,0.15149%,0.00033301,19.439,0
,2000
,2000
,0220

28,0000,0.78431%,0.53569%,0.00045088,5.5143,0
,0000
