FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\glorot\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 225
Number of single edges: 225
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15186 subgraphs were enumerated in the original network.
1339403 subgraphs were enumerated in the random networks.
1354589 subgraphs were enumerated in all networks.

For the random networks: 97795 tries were made, 65246 were successful.
Randomization took 0.051 seconds.
Enumeration took 1.582 seconds.

392,0000,0.20414%,0.29777%,0.00064936,-1.4419,0.92
,0010
,2000
,2000

392,0000,0.19755%,0.050241%,0.00029097,5.0627,0
,2000
,0300
,3000

392,0000,0.19097%,0.046133%,0.00025522,5.6747,0
,2000
,0300
,1000

392,0000,0.19097%,0.30175%,0.00068675,-1.6132,0.96
,2000
,0003
,3000

140,0000,0.18438%,0.21242%,0.00044613,-0.62861,0.7
,0000
,2000
,1300

74,0000,0.18438%,0.29348%,0.00047072,-2.3176,1
,0000
,0200
,1020

28,0000,0.1778%,0.11477%,0.00024238,2.6004,0
,0000
,0003
,2300

2182,0000,0.17121%,0.075792%,0.00025671,3.717,0
,3000
,1000
,0220

74,0000,0.16463%,0.166%,0.00042446,-0.032391,0.51
,0000
,0300
,2030

140,0000,0.16463%,0.097822%,0.00035929,1.8593,0.04
,0000
,3000
,2100

14,0000,0.15146%,0.099638%,0.00025262,2.0512,0.01
,0000
,0000
,2310

2184,0000,0.15146%,0.095604%,0.00021525,2.5947,0
,1000
,3000
,3000

74,0000,0.15146%,0.1177%,0.00038167,0.88442,0.19
,0000
,0300
,2010

536,0000,0.14487%,0.22973%,0.00069209,-1.2262,0.88
,0010
,2000
,0200

392,0000,0.14487%,0.075879%,0.00028993,2.3796,0.01
,1000
,3000
,0030

140,0000,0.13829%,0.25021%,0.00045728,-2.4475,0.99
,0000
,0100
,2300

392,0000,0.1317%,0.28017%,0.0005918,-2.5087,1
,1000
,0300
,2000

2184,0000,0.1317%,0.096188%,0.00023932,1.4839,0.08
,2000
,1000
,1000

392,0000,0.1317%,0.087465%,0.00025042,1.7665,0.05
,0010
,3000
,3000

74,0000,0.1317%,0.25551%,0.00047316,-2.6167,0.99
,0000
,0300
,3020

2182,0000,0.1317%,0.0048475%,6.1245e-005,20.712,0
,3000
,2000
,0230

392,0000,0.1317%,0.22175%,0.00044852,-2.0077,0.98
,3000
,0100
,2000

392,0000,0.12512%,0.19412%,0.00045018,-1.5327,0.94
,0001
,2000
,1000

