FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_250120\synds\normal\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 75
Number of edges: 321
Number of single edges: 321
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

40155 subgraphs were enumerated in the original network.
3440998 subgraphs were enumerated in the random networks.
3481153 subgraphs were enumerated in all networks.

For the random networks: 152820 tries were made, 89400 were successful.
Randomization took 0.081 seconds.
Enumeration took 4.734 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,11.413%,10.175%,0.00304,4.0721,0
,0000
,2000
,2200

2116,0000,7.5059%,5.5234%,0.0022182,8.9376,0
,0002
,0002
,2000

392,0000,6.2309%,7.7312%,0.0039124,-3.8348,1
,2000
,0200
,2000

74,0000,5.2148%,4.315%,0.0018073,4.9788,0
,0000
,0200
,2020

2184,0000,4.8338%,4.0381%,0.0013808,5.7626,0
,2000
,2000
,2000

28,0000,4.0618%,2.6718%,0.0016421,8.4643,0
,0000
,0002
,2200

2116,0000,2.8564%,2.1238%,0.0010921,6.708,0
,3000
,0200
,0200

28,0000,2.6423%,1.7757%,0.0011133,7.7839,0
,0000
,0002
,3200

392,0000,2.3509%,2.4355%,0.0016907,-0.50026,0.7
,3000
,0200
,2000

2116,0000,1.8628%,1.3397%,0.00097036,5.3905,0
,0010
,2000
,0020

536,0000,1.7781%,3.1697%,0.0020943,-6.6448,1
,2000
,0002
,0200

14,0000,1.7731%,1.0143%,0.00063835,11.887,0
,0000
,0000
,2220

2184,0000,1.7134%,1.409%,0.00090537,3.362,0
,1000
,2000
,2000

2184,0000,1.6636%,1.149%,0.00076744,6.7054,0
,3000
,2000
,2000

392,0000,1.5664%,0.93405%,0.0012298,5.1423,0
,3000
,2000
,0020

74,0000,1.4394%,1.4031%,0.00077662,0.46739,0.37
,0000
,0300
,2020

140,0000,1.407%,1.315%,0.0010825,0.85035,0.2
,0000
,2000
,3200

140,0000,1.3099%,1.2342%,0.00079193,0.95574,0.18
,0000
,3000
,2200

536,0000,1.1779%,0.3732%,0.00066194,12.157,0
,1000
,0200
,0020

140,0000,1.173%,1.0184%,0.0010092,1.5313,0.05
,0000
,2000
,1200

140,0000,1.1431%,1.322%,0.00096116,-1.8611,0.97
,0000
,2000
,2300

140,0000,1.0908%,1.2104%,0.00076401,-1.5661,0.95
,0000
,1000
,2200

536,0000,1.0858%,1.0273%,0.0010999,0.53216,0.28
,3000
,0200
,0020

140,0000,1.0783%,0.87722%,0.00079467,2.5306,0.02
,0000
,2000
,2100

2116,0000,1.0609%,0.64854%,0.00070334,5.8628,0
,0030
,2000
,0020

204,0000,1.0534%,0.30513%,0.0003911,19.133,0
,0000
,2200
,2200

2182,0000,0.98618%,0.1785%,0.00027927,28.921,0
,2000
,2000
,0220

2182,0000,0.89902%,0.1139%,0.00027588,28.459,0
,3000
,2000
,0220

2116,0000,0.87162%,0.5915%,0.00071116,3.939,0
,1000
,0200
,0200

14,0000,0.78944%,0.47782%,0.00049215,6.3319,0
,0000
,0000
,3220

2116,0000,0.71473%,0.51363%,0.00044563,4.5127,0
,3000
,0100
,0200

392,0000,0.70726%,1.04%,0.0013672,-2.4337,1
,1000
,0200
,2000

392,0000,0.6973%,0.82548%,0.00090637,-1.4142,0.93
,0010
,2000
,2000

