FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_250120\synds\orth\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 75
Number of edges: 312
Number of single edges: 312
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

323906 subgraphs were enumerated in the original network.
28190967 subgraphs were enumerated in the random networks.
28514873 subgraphs were enumerated in all networks.

For the random networks: 137011 tries were made, 90366 were successful.
Randomization took 0.091 seconds.
Enumeration took 170.814 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8344,00000,1.4257%,0.89701%,0.00054383,9.7221,0
,00000
,02000
,00200
,22000

1304,00000,1.4041%,1.0931%,0.00079308,3.9221,0
,00000
,00002
,20000
,22000

8724,00000,1.105%,0.88592%,0.00048737,4.4942,0
,00000
,02000
,20000
,20200

8472,00000,1.1019%,0.94628%,0.00055365,2.8102,0
,00000
,20000
,20000
,22000

8340,00000,1.0901%,0.90578%,0.00066875,2.7566,0.01
,00000
,02000
,00200
,20200

8728,00000,1.0809%,0.97197%,0.00049648,2.1934,0.01
,00000
,20000
,02000
,22000

8468,00000,1.0522%,0.89133%,0.00053124,3.0273,0
,00000
,02000
,02000
,20200

67088,00000,1.0401%,0.34287%,0.00042179,16.531,0
,20000
,20000
,02000
,00200

532752,00000,0.98238%,0.77939%,0.00057456,3.533,0
,00020
,00020
,20000
,20000

49680,00000,0.92681%,0.74656%,0.00058116,3.1016,0
,20000
,02000
,20000
,20000

404,00000,0.88729%,0.57739%,0.00033056,9.3753,0
,00000
,00000
,02200
,20200

540,00000,0.83018%,0.62814%,0.00053982,3.7427,0
,00000
,00000
,20000
,22200

67088,00000,0.76874%,0.27457%,0.00044249,11.168,0
,30000
,02000
,20000
,00020

49680,00000,0.70453%,0.34651%,0.00040489,8.8423,0
,30000
,20000
,00200
,20000

1080,00000,0.62117%,0.26839%,0.00030365,11.618,0
,00000
,00002
,00002
,22000

8728,00000,0.61221%,0.55606%,0.00031327,1.7927,0.04
,00000
,20000
,01000
,22000

67088,00000,0.59184%,0.19707%,0.00023316,16.931,0
,00100
,20000
,00002
,20000

8472,00000,0.53874%,0.50049%,0.00039619,0.96523,0.17
,00000
,20000
,10000
,22000

532752,00000,0.53009%,0.43482%,0.00031063,3.0671,0
,00100
,20000
,00200
,20000

532744,00000,0.51002%,0.25339%,0.00026628,9.6377,0
,00002
,00002
,00002
,20000

1304,00000,0.50663%,0.40976%,0.0004144,2.3375,0.03
,00000
,00002
,02000
,23000

8344,00000,0.49274%,0.35038%,0.00034035,4.1828,0
,00000
,30000
,00200
,22000

1080,00000,0.47483%,0.21875%,0.00024778,10.335,0
,00000
,00002
,00002
,23000

67088,00000,0.4668%,0.20519%,0.00029567,8.8481,0
,10000
,02000
,20000
,00020

8340,00000,0.46063%,0.37745%,0.00029553,2.8145,0.01
,00000
,03000
,00200
,20200

8468,00000,0.45692%,0.35182%,0.00031877,3.297,0
,00000
,03000
,02000
,20200

8472,00000,0.45631%,0.4358%,0.00034383,0.5963,0.32
,00000
,20000
,30000
,22000

8728,00000,0.45569%,0.43306%,0.00033314,0.67911,0.22
,00000
,20000
,02000
,21000

532520,00000,0.45507%,0.70642%,0.00057429,-4.3766,1
,00020
,00002
,20000
,00020

8728,00000,0.45229%,0.43486%,0.0002772,0.62889,0.26
,00000
,03000
