FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_618\orth\tree\tree_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 217
Number of single edges: 217
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

13604 subgraphs were enumerated in the original network.
1208844 subgraphs were enumerated in the random networks.
1222448 subgraphs were enumerated in all networks.

For the random networks: 93238 tries were made, 63174 were successful.
Randomization took 0.049 seconds.
Enumeration took 1.419 seconds.

,3020

140,0000,0.18377%,0.078835%,0.00028987,3.62,0.01
,0000
,3000
,2300

28,0000,0.16907%,0.12049%,0.00025569,1.8998,0.01
,0000
,0003
,2100

392,0000,0.16172%,0.057858%,0.00028047,3.703,0
,2000
,0300
,1000

392,0000,0.16172%,0.28831%,0.00063803,-1.9842,0.98
,1000
,0300
,2000

28,0000,0.16172%,0.1035%,0.00025379,2.2937,0
,0000
,0003
,2200

140,0000,0.15437%,0.072595%,0.00031364,2.6072,0.01
,0000
,3000
,2100

74,0000,0.15437%,0.14744%,0.0004147,0.16705,0.43
,0000
,0100
,2030

140,0000,0.14702%,0.24047%,0.00061934,-1.5089,0.94
,0000
,3000
,3200

392,0000,0.14702%,0.045661%,0.00030026,3.3756,0
,2000
,0300
,3000

392,0000,0.13966%,0.18032%,0.00037769,-1.0765,0.84
,3000
,0100
,2000

74,0000,0.13966%,0.15872%,0.00029867,-0.63816,0.69
,0000
,0300
,1020

28,0000,0.12496%,0.084286%,0.00023133,1.7584,0.03
,0000
,0001
,2200

392,0000,0.12496%,0.075005%,0.00029997,1.6655,0.07
,1000
,0300
,3000

140,0000,0.11761%,0.20016%,0.00056014,-1.4737,0.93
,0000
,0100
,2300

74,0000,0.11761%,0.15342%,0.00054942,-0.65166,0.68
,0000
,0200
,2010

2182,0000,0.11761%,0.016777%,0.00011993,8.4082,0
,2000
,2000
,0230

140,0000,0.11761%,0.15924%,0.00034552,-1.2047,0.92
,0000
,2000
,3100

140,0000,0.11761%,0.19304%,0.00053306,-1.415,0.93
,0000
,2000
,1300

392,0000,0.11761%,0.028875%,0.0001933,4.5906,0
,0010
,2000
,3000

2116,0000,0.10291%,0.069007%,0.00020768,1.6325,0.04
,2000
,0300
,0100

2184,0000,0.10291%,0.075261%,0.00023892,1.1573,0.05
,2000
,1000
,1000

392,0000,0.10291%,0.03573%,0.00019172,3.5042,0
,0010
,2000
,1000

74,0000,0.10291%,0.10682%,0.00033095,-0.11803,0.58
,0000
,0300
,2010

140,0000,0.10291%,0.20016%,0.00052061,-1.868,0.97
,0000
,0300
,2100

74,0000,0.10291%,0.16564%,0.0003483,-1.8009,0.97
,0000
,0300
,3020

2116,0000,0.10291%,0.08181%,0.00023926,0.8819,0.17
,1000
,0100
,0200

140,0000,0.088209%,0.084395%,0.00020877,0.18271,0.42
,0000
,1000
,2100

2184,0000,0.088209%,0.059597%,0.00018576,1.5403,0.07
,1000
,3000
,3000

392,0000,0.088209%,0.069267%,0.00019888,0.95244,0.15
,0010
,3000
,3000

2116,0000,0.088209%,0.056938%,0.00015812,1.9777,0.02
,2000
,0300
,0300

74,0000,0.088209%,0.10182%,0.00027716,-0.49103,0.63
,0000
,0100
,3020

2182,0000,0.080859%,0.0035559%,6.2624e-005,12.344,0
,3000
,2000
,0230

392,0000,0.080859%,0.053212%,0.00019651,1.4069,0.09
,0010
,3000
,1000

2182,0000,0.080859%,0.0057973%,7.3235e-005,10.249,0
,3000
,1000
,0230

536,0000,0.073508%,0.096417%,0.00034657,-0.66102,0.73
,3000
,0200
,0030

28,0000,0.073508%,0.04761%,0.00014176,1.8268,0.04
,0000
,0003
,2300

74,0000,0.073508%,0.083957%,0.00030955,-0.33755,0.65
,0000
,0300
,2030

140,0000,0.066157%,0.1225%,0.00036584,-1.5401,0.91
,0000
,2000
,3300

28,0000,0.066157%,0.047915%,0.00015045,1.2125,0.09
,0000
,0001
,2300

14,0000,0.066157%,0.046985%,0.00012859,1.491,0.08
,0000
,0000
,2310

392,0000,0.066157%,0.043155%,0.00019621,1.1723,0.13
,1000
,3000
,0030

536,0000,0.066157%,0.12389%,0.00043305,-1.3333,0.93
,0010
,0002
,2000

74,0000,0.066157%,0.087438%,0.0002126,-1.001,0.86
,0000
,0100
,1020

204,0000,0.058806%,0.011167%,0.00010668,4.4657,0
,0000
,3100
,2200

140,0000,0.058806%,0.05454%,0.00017423,0.24488,0.34
,0000
,3000
,3100

392,0000,0.051455%,0.050793%,0.00022102,0.029955,0.41
,3000
,0300
,3000

536,0000,0.051455%,0.064074%,0.00029799,-0.42347,0.6
,2000
,0300
,0010

392,0000,0.051455%,0.023388%,0.00018232,1.5394,0.08
,0001
,3000
,1000

28,0000,0.051455%,0.03683%,0.00013678,1.0693,0.13
,0000
,0001
,2100

28,0000,0.051455%,0.037289%,0.00012977,1.0917,0.06
,0000
,0003
,3100

392,0000,0.051455%,0.028106%,0.0001628,1.4342,0.07
,1000
,0300
,1000

2116,0000,0.051455%,0.036746%,0.00010434,1.4097,0.05
,1000
,0300
,0300

2184,0000,0.051455%,0.035377%,0.00012027,1.3369,0.05
,3000
,1000
,1000

392,0000,0.051455%,0.13657%,0.00048257,-1.7638,0.99
,2000
,0003
,3000

204,0000,0.044105%,0.0089328%,8.518e-005,4.1291,0
,0000
,3200
,3200

14,0000,0.044105%,0.029868%,0.00014372,0.99062,0.08
,0000
,0000
,2330

2182,0000,0.044105%,0.0056071%,6.6133e-005,5.8213,0
,1000
,2000
,0320

204,0000,0.044105%,0.0040579%,5.3399e-005,7.4995,0
,0000
,3300
,2200

2182,0000,0.044105%,0.002953%,4.8726e-005,8.4455,0
,2000
,1000
,0320

2116,0000,0.044105%,0.031707%,0.00010856,1.142,0.1
,0010
,3000
,0030

2116,0000,0.044105%,0.034362%,0.00010944,0.89026,0.18
,1000
,0100
,0300

140,0000,0.044105%,0.047412%,0.0002353,-0.14054,0.49
,0000
,3000
,1300

2182,0000,0.036754%,0.0021463%,4.1788e-005,8.2817,0
,1000
,2000
,0210

536,0000,0.036754%,0.20148%,0.00059896,-2.7502,1
,0030
,0002
,2000

536,0000,0.036754%,0.052201%,0.00032382,-0.47701,0.6
,0010
,2000
,0300

536,0000,0.036754%,0.035778%,0.00016012,0.060926,0.45
,1000
,0001
,0200

536,0000,0.036754%,0.058258%,0.00024672,-0.87159,0.81
,1000
,0200
,0030

536,0000,0.036754%,0.063106%,0.00019904,-1.324,0.91
,3000
,0001
,0200

204,0000,0.036754%,0.0039466%,5.8824e-005,5.5772,0
,0000
,3200
,2100

2182,0000,0.036754%,0.0035648%,5.319e-005,6.2397,0
,2000
,3000
,0230

2116,0000,0.036754%,0.02401%,0.00010318,1.2352,0.13
,0003
,0003
,3000

140,0000,0.036754%,0.044108%,0.00018659,-0.39416,0.59
,0000
,1000
,3100

140,0000,0.036754%,0.019951%,0.00012828,1.3098,0.1
,0000
,0100
,3100

2182,0000,0.036754%,0.0021479%,4.4962e-005,7.6968,0
,3000
,2000
,0210

204,0000,0.029403%,0.0011545%,3.091e-005,9.139,0
,0000
,3100
,3300

2182,0000,0.029403%,0.003626%,5.2709e-005,4.8905,0
,3000
,3000
,0230

536,0000,0.029403%,0.037696%,0.00015737,-0.52698,0.65
,1000
,0001
,0300

2182,0000,0.029403%,0.0074398%,8.1023e-005,2.7107,0.02
,1000
,1000
,0220

140,0000,0.029403%,0.011799%,0.00011891,1.4804,0.08
,0000
,3000
,1100

204,0000,0.029403%,0.017139%,0.0001391,0.8817,0.21
,0000
,3200
,1200

204,0000,0.029403%,0.0021405%,3.8144e-005,7.1473,0
,0000
,1300
,2100

204,0000,0.029403%,0.0018976%,3.6752e-005,7.484,0
,0000
,2100
,1200

28,0000,0.029403%,0.023846%,0.00010512,0.52862,0.41
,0000
,0002
,1100

140,0000,0.029403%,0.044013%,0.00017251,-0.84692,0.76
,0000
,3000
,3300

140,0000,0.029403%,0.032694%,0.00015291,-0.21519,0.62
,0000
,1000
,3300

2184,0000,0.022052%,0.014858%,6.4626e-005,1.1133,0.19
,3000
,3000
,3000

