FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\Desktop\MasterThesis\newThread\all_sources_new\Results\seed_3\glorot\mvg\mvg_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 222
Number of single edges: 222
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

15267 subgraphs were enumerated in the original network.
1349752 subgraphs were enumerated in the random networks.
1365019 subgraphs were enumerated in all networks.

For the random networks: 97533 tries were made, 63985 were successful.
Randomization took 0.064 seconds.
Enumeration took 1.592 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,17.024%,15.335%,0.0041505,4.0676,0
,0000
,2000
,2200

392,0000,8.0762%,10.585%,0.0052428,-4.785,1
,2000
,0200
,2000

2116,0000,7.9583%,6.2219%,0.002702,6.4266,0
,0002
,0002
,2000

2184,0000,6.6221%,5.9453%,0.0018958,3.57,0
,2000
,2000
,2000

74,0000,5.6462%,4.9051%,0.0023742,3.1213,0
,0000
,0200
,2020

2116,0000,2.941%,2.4039%,0.0014294,3.7576,0
,3000
,0200
,0200

392,0000,2.7576%,2.8902%,0.0025436,-0.52132,0.69
,3000
,0200
,2000

28,0000,2.6855%,1.8561%,0.001443,5.7484,0
,0000
,0002
,2200

536,0000,2.6462%,3.3867%,0.0031529,-2.3486,1
,2000
,0002
,0200

392,0000,1.9978%,0.86274%,0.001734,6.5458,0
,3000
,2000
,0020

14,0000,1.8275%,1.1227%,0.00093395,7.5462,0
,0000
,0000
,2220

28,0000,1.7161%,1.2511%,0.0010867,4.2792,0
,0000
,0002
,3200

74,0000,1.6375%,1.6873%,0.0010772,-0.46245,0.69
,0000
,0300
,2020

536,0000,1.6048%,1.1883%,0.0015197,2.7404,0
,3000
,0200
,0020

2184,0000,1.4476%,1.111%,0.00099762,3.3734,0
,3000
,2000
,2000

2184,0000,1.3952%,1.1477%,0.0010499,2.3569,0
,1000
,2000
,2000

204,0000,1.2249%,0.43121%,0.00057203,13.874,0
,0000
,2200
,2200

2116,0000,1.1659%,0.95192%,0.0010564,2.0258,0.01
,1000
,0200
,0200

536,0000,1.1594%,0.53844%,0.0011405,5.4442,0
,1000
,0200
,0020

140,0000,1.107%,0.74218%,0.0013547,2.6927,0.01
,0000
,2000
,1200

2182,0000,1.0546%,0.1898%,0.00041218,20.98,0
,2000
,2000
,0220

392,0000,0.92356%,1.4434%,0.0023651,-2.1981,0.98
,1000
,0200
,2000

140,0000,0.92356%,1.2443%,0.0010331,-3.1043,1
,0000
,3000
,2200

140,0000,0.90391%,0.77679%,0.0010558,1.204,0.11
,0000
,2000
,3200

2116,0000,0.88426%,0.6226%,0.00092924,2.8158,0
,0010
,2000
,0020

140,0000,0.83186%,0.89545%,0.00087884,-0.72352,0.8
,0000
,1000
,2200

140,0000,0.81876%,0.869%,0.0010427,-0.48186,0.67
,0000
,2000
,2100

392,0000,0.80566%,0.62006%,0.0012304,1.5085,0.07
,1000
,2000
,0020

2182,0000,0.79256%,0.099174%,0.00033887,20.462,0
,3000
,2000
,0220

140,0000,0.75981%,0.98361%,0.0010876,-2.0578,0.98
,0000
,2000
,2300

536,0000,0.70086%,0.46341%,0.00091105,2.6063,0
,0030
,3000
,0200

28,0000,0.68776%,0.49693%,0.00079719,2.3938,0
,0000
,0002
,2100

