FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\orth\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 536
Number of single edges: 536
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

79455 subgraphs were enumerated in the original network.
7306406 subgraphs were enumerated in the random networks.
7385861 subgraphs were enumerated in all networks.

For the random networks: 223167 tries were made, 157946 were successful.
Randomization took 0.145 seconds.
Enumeration took 15.346 seconds.

,3000
,3000
,0200

536,0000,0.33226%,0.75847%,0.00050312,-8.4711,1
,3000
,0200
,0020

2116,0000,0.32849%,0.24002%,0.00020762,4.261,0
,1000
,0100
,0200

74,0000,0.32597%,0.30758%,0.00017625,1.0433,0.14
,0000
,0300
,3020

392,0000,0.32345%,0.2621%,0.00021598,2.8407,0
,2000
,0003
,3000

536,0000,0.31842%,0.59706%,0.00080731,-3.4515,1
,0010
,2000
,0200

28,0000,0.31716%,0.22898%,0.00017232,5.117,0
,0000
,0002
,3100

28,0000,0.31464%,0.22819%,0.00017226,5.0185,0
,0000
,0003
,2300

2116,0000,0.31338%,0.22705%,0.00017559,4.917,0
,2000
,0300
,0100

2182,0000,0.31338%,0.051238%,9.7486e-005,26.891,0
,2000
,1000
,0220

140,0000,0.30961%,0.28722%,0.00028965,0.77297,0.2
,0000
,2000
,1100

392,0000,0.30961%,0.29991%,0.0003784,0.25635,0.39
,3000
,0200
,1000

2182,0000,0.30835%,0.052166%,9.2603e-005,27.665,0
,2000
,2000
,0210

392,0000,0.30709%,0.24558%,0.00020537,2.9954,0
,2000
,0300
,3000

392,0000,0.30457%,0.29231%,0.00021901,0.55987,0.35
,0010
,2000
,1000

140,0000,0.30206%,0.30652%,0.0002586,-0.17249,0.54
,0000
,2000
,3300

392,0000,0.29954%,0.23429%,0.00027044,2.4128,0.02
,1000
,0200
,3000

536,0000,0.29954%,0.61185%,0.00045588,-6.8508,1
,0010
,0002
,2000

392,0000,0.28821%,0.26825%,0.00019642,1.0163,0.15
,2000
,0300
,1000

74,0000,0.28821%,0.2467%,0.00021927,1.893,0.02
,0000
,0300
,2030

2116,0000,0.2857%,0.19911%,0.00016473,5.2565,0
,1000
,0300
,0200

28,0000,0.27689%,0.18775%,0.00017898,4.9801,0
,0000
,0003
,2100

2182,0000,0.27563%,0.048397%,7.7771e-005,29.218,0
,2000
,2000
,0230

392,0000,0.27563%,0.25594%,0.00021884,0.89965,0.2
,0001
,2000
,1000

2184,0000,0.26933%,0.19715%,0.00013124,5.4998,0
,2000
,3000
,3000

536,0000,0.2643%,0.56453%,0.00053524,-5.6093,1
,0030
,0002
,2000

