FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_180112\synds\orth\init\init_w_Graph.txt
Network type: Directed
Number of nodes: 95
Number of edges: 494
Number of single edges: 494
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

62521 subgraphs were enumerated in the original network.
5855624 subgraphs were enumerated in the random networks.
5918145 subgraphs were enumerated in all networks.

For the random networks: 202020 tries were made, 146116 were successful.
Randomization took 0.125 seconds.
Enumeration took 9.723 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,10.411%,9.8071%,0.001772,3.4073,0
,0000
,2000
,2200

74,0000,6.3931%,5.2062%,0.0016864,7.0377,0
,0000
,0200
,2020

392,0000,5.475%,5.6096%,0.0016514,-0.81555,0.82
,2000
,0200
,2000

2116,0000,4.1458%,2.9856%,0.0010634,10.91,0
,0002
,0002
,2000

28,0000,3.3157%,2.3575%,0.00084749,11.306,0
,0000
,0002
,2200

140,0000,2.4472%,2.3601%,0.00072128,1.2071,0.13
,0000
,1000
,2200

140,0000,2.3096%,2.1798%,0.00062952,2.0629,0.02
,0000
,2000
,2100

2184,0000,2.2265%,1.6791%,0.00056432,9.6999,0
,2000
,2000
,2000

140,0000,2.1929%,2.1642%,0.00071334,0.40112,0.39
,0000
,2000
,1200

14,0000,2.1065%,1.5181%,0.00051641,11.394,0
,0000
,0000
,2220

2116,0000,1.9162%,1.3957%,0.00047686,10.914,0
,0010
,2000
,0020

140,0000,1.8634%,1.7704%,0.00045666,2.0351,0.01
,0000
,2000
,2300

140,0000,1.7194%,1.6512%,0.00059327,1.1498,0.12
,0000
,3000
,2200

74,0000,1.649%,1.3594%,0.00061164,4.7349,0
,0000
,0100
,2020

140,0000,1.641%,1.5952%,0.00065617,0.69934,0.24
,0000
,2000
,3200

392,0000,1.5819%,1.441%,0.00079942,1.7623,0.04
,1000
,0200
,2000

28,0000,1.5803%,1.1395%,0.00046415,9.4963,0
,0000
,0002
,2100

2184,0000,1.5643%,1.1947%,0.00036748,10.057,0
,1000
,2000
,2000

28,0000,1.4875%,1.09%,0.00046092,8.625,0
,0000
,0002
,3200

392,0000,1.4763%,1.3532%,0.00064679,1.9026,0.04
,1000
,2000
,0020

74,0000,1.4331%,1.1393%,0.00053997,5.4414,0
,0000
,0300
,2020

74,0000,1.3611%,1.0835%,0.00072105,3.8506,0
,0000
,0200
,2010

392,0000,1.3004%,1.283%,0.00051934,0.33358,0.35
,0010
,2000
,2000

14,0000,1.2972%,0.94977%,0.0003686,9.4247,0
,0000
,0000
,1220

74,0000,1.2924%,1.1728%,0.00054936,2.1758,0.03
,0000
,0200
,1020

2116,0000,1.1676%,0.83079%,0.00044279,7.6067,0
,0030
,2000
,0020

2116,0000,1.1596%,0.8492%,0.00043566,7.125,0
,1000
,0200
,0200

392,0000,1.1596%,0.94192%,0.00067199,3.2395,0
,3000
,2000
,0020

536,0000,1.126%,2.8966%,0.0016955,-10.442,1
,2000
,0002
,0200

392,0000,1.1164%,1.0892%,0.00069562,0.39103,0.4
,3000
,0200
,2000

14,0000,1.086%,0.81207%,0.00033691,8.1317,0
,0000
,0000
,3220

2184,0000,1.0141%,0.75697%,0.00033759,7.6155,0
,3000
,2000
,2000

74,0000,0.94368%,0.9435%,0.00054881,0.0033651,0.52
,0000
,0200
,3020

