FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_240120\synds\glorot\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 233
Number of single edges: 233
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 4

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

16173 subgraphs were enumerated in the original network.
1436975 subgraphs were enumerated in the random networks.
1453148 subgraphs were enumerated in all networks.

For the random networks: 100211 tries were made, 67901 were successful.
Randomization took 0.044 seconds.
Enumeration took 1.825 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

140,0000,10.326%,9.2884%,0.0036541,2.8393,0
,0000
,2000
,2200

392,0000,5.8183%,6.652%,0.0039785,-2.0955,0.97
,2000
,0200
,2000

2116,0000,4.5075%,3.4694%,0.0019522,5.3174,0
,0002
,0002
,2000

2184,0000,3.6728%,3.2288%,0.0014059,3.158,0
,2000
,2000
,2000

2184,0000,3.512%,3.0134%,0.0013126,3.7984,0
,1000
,2000
,2000

74,0000,3.3451%,3.2058%,0.0017425,0.7993,0.22
,0000
,0200
,2020

140,0000,2.8566%,2.6331%,0.0020237,1.1046,0.14
,0000
,2000
,1200

140,0000,2.6773%,2.7244%,0.0013737,-0.34283,0.65
,0000
,2000
,2100

392,0000,2.6031%,1.8611%,0.0022666,3.2736,0
,1000
,2000
,0020

140,0000,2.5289%,2.6043%,0.0014031,-0.5372,0.69
,0000
,1000
,2200

2116,0000,2.3249%,1.7222%,0.0010598,5.687,0
,0010
,2000
,0020

392,0000,2.1085%,2.5067%,0.0026941,-1.4784,0.92
,1000
,0200
,2000

392,0000,1.7004%,0.75793%,0.0014559,6.4733,0
,3000
,2000
,0020

536,0000,1.6571%,0.76266%,0.0011695,7.6477,0
,3000
,0200
,0020

2116,0000,1.6324%,1.2757%,0.0010014,3.5621,0
,1000
,0200
,0200

392,0000,1.6076%,1.7599%,0.00164,-0.92827,0.82
,3000
,0200
,2000

28,0000,1.5829%,1.08%,0.00098776,5.0915,0
,0000
,0002
,2200

74,0000,1.5582%,1.263%,0.0011282,2.616,0.01
,0000
,0100
,2020

536,0000,1.5582%,2.2626%,0.0022587,-3.119,1
,2000
,0002
,0200

2116,0000,1.3541%,1.1028%,0.00082381,3.0504,0
,3000
,0200
,0200

28,0000,1.2737%,0.89474%,0.00085466,4.4344,0
,0000
,0002
,2100

14,0000,1.1439%,0.70078%,0.00070803,6.2583,0
,0000
,0000
,2220

392,0000,1.1377%,1.4812%,0.0012887,-2.6657,1
,0010
,2000
,2000

2184,0000,1.113%,0.86797%,0.00075112,3.2617,0
,3000
,2000
,2000

14,0000,1.0573%,0.67176%,0.000628,6.1394,0
,0000
,0000
,1220

2116,0000,0.96457%,0.76183%,0.00055556,3.6494,0
,3000
,0100
,0200

74,0000,0.89037%,0.93331%,0.00077246,-0.55584,0.68
,0000
,0200
,1020

140,0000,0.86564%,0.77827%,0.0011368,0.76854,0.27
,0000
,2000
,1100

140,0000,0.80381%,0.75281%,0.00069086,0.73815,0.25
,0000
,1000
,2100

536,0000,0.76053%,0.67318%,0.0011821,0.73891,0.2
,0010
,2000
,0200

2184,0000,0.75434%,0.63522%,0.00058292,2.0436,0.01
,2000
,1000
,1000

2184,0000,0.73579%,0.57329%,0.00058687,2.769,0
,2000
,1000
,3000

392,0000,0.72961%,0.64981%,0.0010798,0.73903,0.23
