FANMOD 1.1 subgraph enumeration
-------------------------------

Network name: C:\Users\matte\_nmnn\srcs\Results\seed_240120\synds\orth\clus\clus_w_Graph.txt
Network type: Directed
Number of nodes: 65
Number of edges: 197
Number of single edges: 197
Number of mutual edges: 0
Number of edge colors: 3

Algorithm: enumeration
Subgraph size: 5

Generated 100 random networks
   with locally constant number of bidirectional edges,
   exchanging only edges with the same color,
   3 exchanges per edge and 3 tries per edge.

74516 subgraphs were enumerated in the original network.
6572131 subgraphs were enumerated in the random networks.
6646647 subgraphs were enumerated in all networks.

For the random networks: 80113 tries were made, 58280 were successful.
Randomization took 0.187 seconds.
Enumeration took 34.395 seconds.


Result overview:

ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
,,[Original],[Random],[Random]

8728,00000,1.75%,1.6421%,0.0010455,1.032,0.15
,00000
,20000
,02000
,22000

67088,00000,1.5742%,0.44025%,0.00088764,12.774,0
,10000
,02000
,20000
,00020

8340,00000,1.5446%,1.2954%,0.0013506,1.8451,0.04
,00000
,02000
,00200
,20200

8472,00000,1.4601%,1.4351%,0.0010037,0.24946,0.4
,00000
,20000
,20000
,22000

67088,00000,1.401%,0.38987%,0.00082799,12.212,0
,20000
,20000
,02000
,00200

8724,00000,1.3916%,1.167%,0.0010219,2.1984,0.03
,00000
,02000
,20000
,20200

532752,00000,1.2655%,1.2857%,0.0012016,-0.16804,0.57
,00020
,00020
,20000
,20000

8468,00000,1.2548%,1.1537%,0.00098207,1.0288,0.12
,00000
,02000
,02000
,20200

8728,00000,1.2172%,1.1467%,0.00065693,1.0735,0.15
,00000
,20000
,01000
,22000

8472,00000,1.1139%,1.0283%,0.00070263,1.2182,0.11
,00000
,20000
,10000
,22000

404,00000,1.032%,0.80636%,0.00060748,3.7143,0
,00000
,00000
,02200
,20200

49680,00000,1.0038%,0.73173%,0.00094685,2.8735,0
,10000
,20000
,00200
,20000

1304,00000,0.99442%,0.99731%,0.0011261,-0.025716,0.5
,00000
,00002
,20000
,22000

540,00000,0.99308%,0.79949%,0.0010491,1.8453,0.03
,00000
,00000
,20000
,22200

8728,00000,0.98637%,0.97491%,0.00081128,0.1412,0.46
,00000
,20000
,02000
,21000

49680,00000,0.97563%,1.0052%,0.0012061,-0.24518,0.63
,20000
,02000
,20000
,20000

8344,00000,0.89243%,1.1565%,0.0010819,-2.4404,1
,00000
,02000
,00200
,22000

67088,00000,0.76896%,0.2117%,0.00047551,11.719,0
,00100
,20000
,00002
,20000

8340,00000,0.7542%,0.69415%,0.00068137,0.88139,0.22
,00000
,01000
,00200
,20200

8724,00000,0.73944%,0.64609%,0.00057287,1.6296,0.06
,00000
,01000
,20000
,20200

8468,00000,0.7381%,0.61819%,0.00073466,1.6321,0.08
,00000
,01000
,02000
,20200

8468,00000,0.68039%,0.41869%,0.00057864,4.5226,0
,00000
,02000
,01000
,20200

532752,00000,0.67905%,0.45817%,0.00061388,3.598,0
,10000
,20000
,00200
,00200

532752,00000,0.67636%,0.65888%,0.00083969,0.20823,0.46
,10000
,02000
,02000
,20000

532752,00000,0.65758%,0.69495%,0.00072647,-0.51442,0.76
,00100
,20000
,00200
,20000

532744,00000,0.64818%,0.42545%,0.00051563,4.3197,0
,00002
,00002
,00002
,20000

1304,00000,0.61598%,0.36126%,0.00058303,4.3688,0
,00000
,00002
,01000
,22000

404,00000,0.60524%,0.51948%,0.00035896,2.3891,0.01
,00000
,00000
,20100
,22000

532520,00000,0.60121%,0.27188%,0.00055089,5.9782,0
,30000
,02000
,02000
,00200

